会社,題名,説明
DeAgostini,レ・グランディ・フェラーリ・コレクション,"大迫力の1/24スケール！ダイキャストモデルとカタログのように美しいマガジンで楽しむフェラーリの世界 ビッグスケール・ディティール・マテリアルにこだわった、待望のフェラーリコレクション。 
世界に名をはせる憧れのスポーツカー、フェラーリ。レーシングカート同等の性能、官能的なフォルム。フェラーリの数ある名車から、憧れの限定生産者や伝説の名車、最新車をピックアップ。厳選のコレクションを毎号お届けします。 ジャンルを超えた多彩なフェラーリをラインナップ 
迫力のサイズと金属製ボディの高級感。全てのモデルがフェラーリ社公認のもと生産されています。モデルは専用ディスプレイケースに収めて提供。魅力的なマシンを美しいまま鑑賞できます。 カタログのようなマガジン 各号のマシンを詳しく紹介 
マガジンでは、各号付録のモデルを詳しく解説。開発の経緯やエンジンやボディの詳細、デザインの設計をはじめ、詳しいスペックを紹介。フェラーリの性能の秘密に迫ります。"
DeAgostini,日本の神社大全,"日本の神社は、古くから日本人の思想や宗教意識を培ってきたのであり、今も日本人の日常生活に計り知れない影響を及ぼしております。神社は目に見えない大切なものを多く包蔵していますが、この「日本の神社大全（全15巻）」は、ビジュアルを中心とした見やすい構成でそれを視覚的に分かり易く紹介していきます。読者はページをめくるたびに、あたかも神社にお参りしているような臨場感を味わうことでしょう。 
毎社ごとに観音開き3Pの「書き下ろしCG鳥瞰図」。掲載する神社は700社以上。平成を代表する全国の神社の集大成であり、他には類を見ない数の神社を掲載した一大資料となります。"
DeAgostini,神社百景DVDコレクション,古より人々の信仰を集めてきた神の社 人々を見守り、畏れ敬われてきた神々は、今も全国の社と人々の心に鎮まる。 『隔週刊 神社百景DVDコレクション』は、BSジャパンで放映された 「神社百景 GRACE of JAPAN」から厳選した映像を全58巻にまとめてDVD化したシリーズです。 全国で崇敬される名社とそれを取り巻く 自然、人々の信仰という日本の原風景を その地を訪れ、参拝したかのような臨場 感あふれる映像と、誌面で紹介します。
DeAgostini,円谷プロ特撮ドラマDVDコレクション,"昭和の日本が生み出した 円谷プロによる珠玉の作品群 特撮黎明期に放映された革新的な連続ドラマシリーズ『ウルトラQ』。 
""特撮の神様""円谷英二が手がけた『Q』の大ヒット以降、円谷プロは高度経済成長期のTVの普及と足並みをそろえるように、特撮ドラマの数々をお茶の間に届けてきた。 隔週刊『円谷プロ特撮ドラマDVDコレクション』は、厳選された、懐かしい円谷プロの名作を、見て、読んで、楽しめる、特撮ファン待望のDVD付きマガジンだ。"
DeAgostini,第二次世界大戦 傑作機コレクション,"ダイキャストモデルと詳細な解説マガジンで第二次世界大戦の傑作機のすべてを手に入れる！ 
ダイキャストならではの重量感あふれる精密モデルと、貴重な写真やリアルなイラスト、CGを満載したマガジンで、古き良き時代の軍用機の魅力を余すところなく伝えます！ シリーズを通じてコレクションすることで、模型、マガジン双方で第二次世界大戦の傑作機の大百科が完成します。"
DeAgostini,釣りバカ日誌 映画DVDコレクション,"『釣りバカ日誌』シリーズの全22作品を完全収録！！ 毎号のDVDの見どころシーンを場面写真とセリフで紹介します。 
並んでいるだけで面白いハマちゃんとスーさんの釣りシーン、事件が巻き起こる浜崎家のリビング、ムフフな合体場面までお楽しみポイント満載。作品のあらすじも一目で分かってセリフもじっくり味わえます。 
"
DeAgostini,サンダーバード２号＆救助メカ,"細部まで忠実に再現した本格コレクション。感動と熱狂が今、よみがえる。 
国際救助隊の超音速輸送機「サンダーバード2号」に加え、「ジェットモグラ」、「高速エレベーターカー」など特殊任務を遂行する救助メカが集結した一大コレクションが誕生しました。付属する2台のコンテナポッドにメカを格納すれば、『サンダーバード』の特撮世界が広がります。"
DeAgostini,ディズニー・ドリーム・シアター,"ディズニーの舞台が、あなたの部屋にやってくる！ 
プリンセスとプリンスの運命的な出会い。きらびやかな舞台で、ふたりの物語がはじまります。ディズニー不朽の名作といわれる３つの作品の美しい場面を、洗練された劇場の舞台上に再現していきます。「シンデレラ」「リトル・マーメイド」そして「美女と野獣」のプリンセスとプリンスが華麗に舞うシーンは、まるで夢のようです。 細部にまでこだわったシアターの建物も少しずつ作り上げていきます。ライトアップされた舞台に、あの音楽、さあ、舞踏会の幕開けです！"
DeAgostini,空から日本を見てみようDVDコレクション,"日本列島を空中散歩！『空から日本を見てみよう』は、テレビ東京系列で2009年10月15日から2011年9月15日まで約2年間放映された、新感覚バラエティー。 
「くもじい」と「くもみ」のキャラクターが、空からの視点で日本全国の絶景、不思議ポイントを見てまわり、面白いモノを見つけたら、地上に降りてその謎解きをするといった構成。 選りすぐりの放送回をDVDに収録し、情報満載のマガジンとともに楽しんでいきます！"
DeAgostini,スター・ウォーズ ミレニアム・ファルコン,"『帝国の逆襲』 －撮影用モデルを精巧に再現－ 
『スター・ウォーズ』初期3部作の製作にあたり、ミレニアム・ファルコンは、いくつかの撮影用模型がつくられた。とりわけ、第2作『帝国の逆襲』のアクションシーンには、シリーズ最大のアイコンとなる模型が使用されている。 
本誌で組み立てるモデルは、当時撮影用に使われた模型を1/1スケールで再現した究極のオフィシャル・レプリカだ。本モデルは、スクリーンに登場するミレニアム・ファルコンの外観を精密に再現している。さらに、亜高速ドライブやコクピットなど各種照明の点灯と可動式の搭乗タラップは、付属のリモコンで操作可能。また、独自のマグネット式アッパーパネルを採用し、船体上部の装甲プレートを着脱可能。テクニカル・ステーションやホロゲーム・テーブルを備えた主船倉など、船内の細部を楽しむこともできる。 また、撮影に使用された多くの小道具やセットと共に、知られざる貴重なエピソードを取り上げる。"
