タイトル,タイトルURL1,画像URL
"
            
            
              
              剣客商売 DVD コレクション
            
              
              2013年10月08日創刊
            
              
              2014年11月25日完結
            
            ",https://deagostini.jp/post/migrm-499,https://deagostini.jp/f/resources_news/archive/migrm_image_KND_legend_item_img.jpg
"
            
            
              
              ランボルギーニカウンタック LP500S
            
              
              2013年09月24日創刊
            
              
              2015年04月21日完結
            
            ",https://deagostini.jp/post/migrm-489,https://deagostini.jp/f/resources_news/archive/migrm_image_LCL_legend_item_img.jpg
"
            
            
              
              パッチワーク 改訂版
            
              
              2013年09月10日創刊
            
              
              2018年03月31日完結
            
            ",https://deagostini.jp/post/migrm-514,https://deagostini.jp/f/resources_news/archive/migrm_image_PT2_legend_item_img.jpg
"
            
            
              
              ラリーカーコレクション
            
              
              2013年09月03日創刊
            
              
              2018年03月27日完結
            
            ",https://deagostini.jp/post/migrm-527,https://deagostini.jp/f/resources_news/archive/migrm_image_RCL_legend_item_img.jpg
"
            
            
              
              スズキ HAYABUSA GSX1300R
            
              
              2013年06月18日創刊
            
              
              2015年01月27日完結
            
            ",https://deagostini.jp/post/migrm-488,https://deagostini.jp/f/resources_news/archive/migrm_image_SHB_legend_item_img.jpg
"
            
            
              
              新刑事コロンボDVDコレクション
            
              
              2013年05月14日創刊
            
              
              2015年12月22日完結
            
            ",https://deagostini.jp/post/migrm-494,https://deagostini.jp/f/resources_news/archive/migrm_image_KC2_legend_item_img.jpg
"
            
            
              
              自衛隊モデル・コレクション
            
              
              2013年03月12日創刊
            
              
              2015年11月24日完結
            
            ",https://deagostini.jp/post/migrm-491,https://deagostini.jp/f/resources_news/archive/migrm_image_JMC_legend_item_img.jpg
"
            
            
              
              ハーレーダビッドソン・プレミアムコレクション
            
              
              2013年02月14日創刊
            
              
              2013年06月27日完結
            
            ",https://deagostini.jp/post/migrm-486,https://deagostini.jp/f/resources_news/archive/migrm_image_HDP_legend_item_img.jpg
"
            
            
              
              そーなんだ！からだの不思議
            
              
              2013年01月22日創刊
            
              
              2017年11月23日完結
            
            ",https://deagostini.jp/post/migrm-515,https://deagostini.jp/f/resources_news/archive/migrm_image_SNM_legend_item_img.jpg
"
            
            
              
              マクロス・クロニクル 新訂版
            
              
              2013年01月15日創刊
            
              
              2014年08月05日完結
            
            ",https://deagostini.jp/post/migrm-476,https://deagostini.jp/f/resources_news/archive/migrm_image_MCR_legend_item_img.jpg
"
            
            
              
              日本の城
            
              
              2013年01月08日創刊
            
              
              2015年05月01日完結
            
            ",https://deagostini.jp/post/migrm-503,https://deagostini.jp/f/resources_news/archive/migrm_image_NNS_legend_item_img.jpg
"
            
            
              
              戦艦大和を作る 改訂版
            
              
              2012年09月25日創刊
            
              
              2014年06月17日完結
            
            ",https://deagostini.jp/post/migrm-481,https://deagostini.jp/f/resources_news/archive/migrm_image_YM2_legend_item_img.jpg
"
            
            
              
              そーなんだ！歴史編 改訂版
            
              
              2012年09月11日創刊
            
              
              2014年11月11日完結
            
            ",https://deagostini.jp/post/migrm-508,https://deagostini.jp/f/resources_news/archive/migrm_image_SR2_legend_item_img.jpg
"
            
            
              
              マクラーレン ホンダ MP4/4
            
              
              2012年09月04日創刊
            
              
              2014年01月07日完結
            
            ",https://deagostini.jp/post/migrm-473,https://deagostini.jp/f/resources_news/archive/migrm_image_MCH_legend_item_img.jpg
